バリアント,e2wNO,ID,天気,プロンプト,ネガティブ,メモ
eraTW,1,,晴れ,"🌤, sunshine",rainy,
eraTW,2,,快晴,"clear sky, sunshine",rainy,
eraTW,3,,薄曇,,sunshine,
eraTW,4,,曇り,cloudy,"sunshine,blue sky",
eraTW,5,,雨,rainy,"sunshine,blue sky",
eraTW,6,,大雨,heavy rain,"sunshine,blue sky",
eraTW,7,,霧雨,rainy,"sunshine,blue sky",
eraTW,8,,霧,foggy,"sunshine,blue sky",
eraTW,9,,雪,snowing,,
eraTW,10,,吹雪,snowing hard,,
eraTW,11,,細雪,snowing,,
eraTW,12,,霧雪,snowing,,
eraTW,13,,みぞれ,snowing,,
eraTW,14,,あられ,snowing,,
eraTW,15,1,春の月,,"autumn leaves,sunflower",
eraTW,16,2,夏の月,,"autumn leaves,cherry blossoms",
eraTW,17,3,秋の月,,"cherry blossoms,sunflower",
eraTW,18,4,冬の月,,"cherry blossoms,sunflower",
,,,豪雨,"(heavy rain:1.2),dark scene","sunshine,blue sky",
,,,ひょう,snowing,,
